date,fiscal_date_ending
2012-07-24,2012-06-30
2012-10-25,2012-09-29
2013-01-23,2012-12-29
2013-04-23,2013-03-30
2013-07-23,2013-06-29
2013-10-28,2013-09-28
2014-01-27,2013-12-28
2014-04-23,2014-03-29
2014-07-22,2014-06-28
2014-10-20,2014-09-27
2015-01-27,2014-12-27
2015-04-27,2015-03-28
2015-07-21,2015-06-27
2015-10-27,2015-09-26
2016-01-26,2015-12-26
2016-04-26,2016-03-26
2016-07-26,2016-06-25
2016-10-25,2016-09-24
2017-01-31,2016-12-31
2017-05-02,2017-04-01
2017-08-01,2017-07-01
2017-11-02,2017-09-30
2018-02-01,2017-12-30
2018-05-01,2018-03-31
2018-07-31,2018-06-30
2018-11-01,2018-09-29
2019-01-29,2018-12-29
2019-04-30,2019-03-30
2019-07-30,2019-06-29
2019-10-30,2019-09-28
2020-01-28,2019-12-28
2020-04-30,2020-03-28
2020-07-30,2020-06-27
2020-10-29,2020-09-26
2021-01-27,2020-12-26
2021-04-28,2021-03-27
2021-07-27,2021-06-26
2021-10-28,2021-09-25
2022-01-27,2021-12-25
2022-04-28,2022-03-26
2022-07-28,2022-06-25
2022-10-27,2022-09-24
2023-02-02,2022-12-31
2023-05-04,2023-04-01
2023-08-03,2023-07-01
2023-11-02,2023-09-30
2023-11-02,2023-09-30
2024-02-01,2023-12-30
2024-05-02,2024-03-30
2024-08-01,2024-06-30
