date,revenue
2012-07-24,35023000000.0
2012-10-25,35966000000.0
2013-01-23,54512000000.0
2013-04-23,43603000000.0
2013-07-23,35323000000.0
2013-10-28,37472000000.0
2014-01-27,57594000000.0
2014-04-23,45646000000.0
2014-07-22,37432000000.0
2014-10-20,42123000000.0
2015-01-27,74599000000.0
2015-04-27,58010000000.0
2015-07-21,49605000000.0
2015-10-27,51501000000.0
2016-01-26,75872000000.0
2016-04-26,50557000000.0
2016-07-26,42358000000.0
2016-10-25,46852000000.0
2017-01-31,78351000000.0
2017-05-02,52896000000.0
2017-08-01,45408000000.0
2017-11-02,52579000000.0
2018-02-01,88293000000.0
2018-05-01,61137000000.0
2018-07-31,53265000000.0
2018-11-01,62900000000.0
2019-01-29,84310000000.0
2019-04-30,58015000000.0
2019-07-30,53809000000.0
2019-10-30,64040000000.0
2020-01-28,91819000000.0
2020-04-30,58313000000.0
2020-07-30,59685000000.0
2020-10-29,64698000000.0
2021-01-27,111439000000.0
2021-04-28,89584000000.0
2021-07-27,81434000000.0
2021-10-28,83360000000.0
2022-01-27,123945000000.0
2022-04-28,97278000000.0
2022-07-28,82959000000.0
2022-10-27,90146000000.0
2023-02-02,117154000000.0
2023-05-04,94836000000.0
2023-08-03,81797000000.0
2023-11-02,89498000000.0
2023-11-02,
2024-02-01,
2024-05-02,
2024-08-01,
