date,symbol
2012-07-24,AAPL
2012-10-25,AAPL
2013-01-23,AAPL
2013-04-23,AAPL
2013-07-23,AAPL
2013-10-28,AAPL
2014-01-27,AAPL
2014-04-23,AAPL
2014-07-22,AAPL
2014-10-20,AAPL
2015-01-27,AAPL
2015-04-27,AAPL
2015-07-21,AAPL
2015-10-27,AAPL
2016-01-26,AAPL
2016-04-26,AAPL
2016-07-26,AAPL
2016-10-25,AAPL
2017-01-31,AAPL
2017-05-02,AAPL
2017-08-01,AAPL
2017-11-02,AAPL
2018-02-01,AAPL
2018-05-01,AAPL
2018-07-31,AAPL
2018-11-01,AAPL
2019-01-29,AAPL
2019-04-30,AAPL
2019-07-30,AAPL
2019-10-30,AAPL
2020-01-28,AAPL
2020-04-30,AAPL
2020-07-30,AAPL
2020-10-29,AAPL
2021-01-27,AAPL
2021-04-28,AAPL
2021-07-27,AAPL
2021-10-28,AAPL
2022-01-27,AAPL
2022-04-28,AAPL
2022-07-28,AAPL
2022-10-27,AAPL
2023-02-02,AAPL
2023-05-04,AAPL
2023-08-03,AAPL
2023-11-02,AAPL
2023-11-02,AAPL
2024-02-01,AAPL
2024-05-02,AAPL
2024-08-01,AAPL
