date,time
2012-07-24,amc
2012-10-25,amc
2013-01-23,amc
2013-04-23,amc
2013-07-23,amc
2013-10-28,amc
2014-01-27,amc
2014-04-23,amc
2014-07-22,amc
2014-10-20,amc
2015-01-27,amc
2015-04-27,amc
2015-07-21,amc
2015-10-27,amc
2016-01-26,amc
2016-04-26,amc
2016-07-26,amc
2016-10-25,amc
2017-01-31,amc
2017-05-02,amc
2017-08-01,amc
2017-11-02,amc
2018-02-01,amc
2018-05-01,amc
2018-07-31,amc
2018-11-01,amc
2019-01-29,amc
2019-04-30,amc
2019-07-30,amc
2019-10-30,amc
2020-01-28,amc
2020-04-30,amc
2020-07-30,amc
2020-10-29,amc
2021-01-27,amc
2021-04-28,amc
2021-07-27,amc
2021-10-28,amc
2022-01-27,amc
2022-04-28,amc
2022-07-28,amc
2022-10-27,amc
2023-02-02,amc
2023-05-04,amc
2023-08-03,amc
2023-11-02,bmo
2023-11-02,bmo
2024-02-01,amc
2024-05-02,amc
2024-08-01,amc
