date,eps_estimated
2012-07-24,0.37
2012-10-25,0.31
2013-01-23,0.48
2013-04-23,0.36
2013-07-23,0.26
2013-10-28,0.28
2014-01-27,0.5
2014-04-23,0.36
2014-07-22,0.31
2014-10-20,0.33
2015-01-27,0.65
2015-04-27,0.54
2015-07-21,0.45
2015-10-27,0.47
2016-01-26,0.81
2016-04-26,0.5
2016-07-26,0.35
2016-10-25,0.41
2017-01-31,0.8
2017-05-02,0.5
2017-08-01,0.39
2017-11-02,0.47
2018-02-01,0.96
2018-05-01,0.67
2018-07-31,0.55
2018-11-01,0.7
2019-01-29,1.04
2019-04-30,0.59
2019-07-30,0.52
2019-10-30,0.71
2020-01-28,1.14
2020-04-30,0.57
2020-07-30,0.51
2020-10-29,0.7
2021-01-27,1.41
2021-04-28,0.99
2021-07-27,1.01
2021-10-28,1.24
2022-01-27,1.89
2022-04-28,1.43
2022-07-28,1.16
2022-10-27,1.27
2023-02-02,1.94
2023-05-04,1.43
2023-08-03,1.19
2023-11-02,1.39
2024-02-01,1.39
2024-05-02,
2024-08-01,
2024-08-01,
