date,revenue_estimated
2012-07-24,38972962406.01504
2012-10-25,36256048387.09677
2013-01-23,53128446700.50761
2013-04-23,43300201388.88889
2013-07-23,34662757009.345795
2013-10-28,36201762711.8644
2014-01-27,55924608695.652176
2014-04-23,40146481927.710846
2014-07-22,35969812500.0
2014-10-20,38859950704.22536
2015-01-27,63384771241.83006
2015-04-27,53777510729.61374
2015-07-21,48532459459.45946
2015-10-27,49398918367.34694
2016-01-26,74715414634.14635
2016-04-26,53217894736.84212
2016-07-26,41164816901.40845
2016-10-25,46571449101.7964
2017-01-31,74853187500.0
2017-05-02,50880914285.71428
2017-08-01,42688958083.83234
2017-11-02,47498903381.64252
2018-02-01,87612077120.82262
2018-05-01,59793329670.329666
2018-07-31,49622948717.94872
2018-11-01,60315068493.15068
2019-01-29,83507047619.04762
2019-04-30,55207822580.64516
2019-07-30,51852309090.90909
2019-10-30,59826842105.26315
2020-01-28,83738928000.0
2020-04-30,51023875000.00001
2020-07-30,46829769230.76923
2020-10-29,62039178082.19178
2021-01-27,90099617021.0
2021-04-28,76920700000.0
2021-07-27,84581900000.0
2021-10-28,117986000000.0
2022-01-27,118660000000.0
2022-04-28,91155608391.0
2022-07-28,80098344827.0
2022-10-27,88770000000.0
2023-02-02,122054000000.0
2023-05-04,92960200000.0
2023-08-03,81685700000.0
2023-11-02,84175800000.0
2024-02-01,84175800000.0
2024-05-02,
2024-08-01,
2024-08-01,
